
Gatherer - The Official Magic: The Gathering Card Database

1. Enter a search term 	2. Choose fields                	3. Apply filters 	4. Select output 	Go!

Enter a search term 	Search card name
Cost:	1(W/B)
Type:	Creature - Shapeshifter
Pow/Tgh:	2/1
Rules Text:	Whenever you play a spell that's both white and black, Nightsky Mimic becomes 4/4 and gains flying until end of turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Nip Gwyllion
Cost:	(W/B)
Type:	Creature - Hag
Pow/Tgh:	1/1
Rules Text:	Lifelink (Whenever this creature deals damage, you gain that much life.)
Set/Rarity:	Eventide Common
 	 
CardName:	Nobilis of War
Cost:	(R/W)(R/W)(R/W)(R/W)(R/W)
Type:	Creature - Spirit Avatar
Pow/Tgh:	3/4
Rules Text:	Flying Attacking creatures you control get +2/+0.
Set/Rarity:	Eventide Rare
 	 
CardName:	Noggle Bandit
Cost:	1(U/R)(U/R)
Type:	Creature - Noggle Rogue
Pow/Tgh:	2/2
Rules Text:	Noggle Bandit can't be blocked except by creatures with defender.
Set/Rarity:	Eventide Common
 	 
CardName:	Noggle Bridgebreaker
Cost:	2(U/R)(U/R)
Type:	Creature - Noggle Rogue
Pow/Tgh:	4/3
Rules Text:	When Noggle Bridgebreaker comes into play, return a land you control to its owner's hand.
Set/Rarity:	Eventide Common
 	 
CardName:	Noggle Hedge-Mage
Cost:	2(U/R)
Type:	Creature - Noggle Wizard
Pow/Tgh:	2/2
Rules Text:	When Noggle Hedge-Mage comes into play, if you control two or more Islands, you may tap two target permanents. When Noggle Hedge-Mage comes into play, if you control two or more Mountains, you may have Noggle Hedge-Mage deal 2 damage to target player.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Noggle Ransacker
Cost:	2(U/R)
Type:	Creature - Noggle Rogue
Pow/Tgh:	2/1
Rules Text:	When Noggle Ransacker comes into play, each player draws two cards, then discards a card at random.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Noxious Hatchling
Cost:	3(B/G)
Type:	Creature - Elemental
Pow/Tgh:	6/6
Rules Text:	Noxious Hatchling comes into play with four -1/-1 counters on it. Wither (This deals damage to creatures in the form of -1/-1 counters.) Whenever you play a black spell, remove a -1/-1 counter from Noxious Hatchling. Whenever you play a green spell, remove a -1/-1 counter from Noxious Hatchling.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Nucklavee
Cost:	4(U/R)(U/R)
Type:	Creature - Beast
Pow/Tgh:	4/4
Rules Text:	When Nucklavee comes into play, you may return target red sorcery card from your graveyard to your hand. When Nucklavee comes into play, you may return target blue instant card from your graveyard to your hand.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Odious Trow
Cost:	(B/G)
Type:	Creature - Troll
Pow/Tgh:	1/1
Rules Text:	1o(b/g): Regenerate Odious Trow.
Set/Rarity:	Eventide Common
 	 
CardName:	Oona's Grace
Cost:	2U
Type:	Instant
Pow/Tgh:	/
Rules Text:	Target player draws a card. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Common
 	 
CardName:	Outrage Shaman
Cost:	3RR
Type:	Creature - Goblin Shaman
Pow/Tgh:	2/2
Rules Text:	Chroma - When Outrage Shaman comes into play, it deals damage to target creature equal to the number of red mana symbols in the mana costs of permanents you control.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Overbeing of Myth
Cost:	(G/U)(G/U)(G/U)(G/U)(G/U)
Type:	Creature - Spirit Avatar
Pow/Tgh:	*/*
Rules Text:	Overbeing of Myth's power and toughness are each equal to the number of cards in your hand. At the beginning of your draw step, draw a card.
Set/Rarity:	Eventide Rare
 	 
CardName:	Patrol Signaler
Cost:	1W
Type:	Creature - Kithkin Soldier
Pow/Tgh:	1/1
Rules Text:	1W, oQ: Put a 1/1 white Kithkin Soldier creature token into play. (oQ is the untap symbol.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Phosphorescent Feast
Cost:	2GGG
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Chroma - Reveal any number of cards in your hand. You gain 2 life for each green mana symbol in those cards' mana costs.
Set/Rarity:	Eventide Uncommon, Future Sight Uncommon
 	 
CardName:	Primalcrux
Cost:	GGGGGG
Type:	Creature - Elemental
Pow/Tgh:	*/*
Rules Text:	Trample Chroma - Primalcrux's power and toughness are each equal to the number of green mana symbols in the mana costs of permanents you control.
Set/Rarity:	Eventide Rare
 	 
CardName:	Puncture Blast
Cost:	2R
Type:	Instant
Pow/Tgh:	/
Rules Text:	Wither (This deals damage to creatures in the form of -1/-1 counters.) Puncture Blast deals 3 damage to target creature or player.
Set/Rarity:	Eventide Common
 	 
CardName:	Pyrrhic Revival
Cost:	3(W/B)(W/B)(W/B)
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Each player returns each creature card in his or her graveyard to play with an additional -1/-1 counter on it.
Set/Rarity:	Eventide Rare
 	 
CardName:	Quillspike
Cost:	2(B/G)
Type:	Creature - Beast
Pow/Tgh:	1/1
Rules Text:	o(b/g), Remove a -1/-1 counter from a creature you control: Quillspike gets +3/+3 until end of turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Raven's Crime
Cost:	B
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Target player discards a card. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Common
 	 
CardName:	Razorfin Abolisher
Cost:	2U
Type:	Creature - Merfolk Wizard
Pow/Tgh:	2/2
Rules Text:	1U, T Return target creature with a counter on it to its owner's hand.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Recumbent Bliss
Cost:	2W
Type:	Enchantment - Aura
Pow/Tgh:	/
Rules Text:	Enchant creature Enchanted creature can't attack or block. At the beginning of your upkeep, you may gain 1 life.
Set/Rarity:	Eventide Common
 	 
CardName:	Regal Force
Cost:	4GGG
Type:	Creature - Elemental
Pow/Tgh:	5/5
Rules Text:	When Regal Force comes into play, draw a card for each green creature you control.
Set/Rarity:	Eventide Rare
 	 
CardName:	Rekindled Flame
Cost:	2RR
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Rekindled Flame deals 4 damage to target creature or player. At the beginning of your upkeep, if an opponent has no cards in hand, you may return Rekindled Flame from your graveyard to your hand.
Set/Rarity:	Eventide Rare
 	 
CardName:	Rendclaw Trow
Cost:	2(B/G)
Type:	Creature - Troll
Pow/Tgh:	2/2
Rules Text:	Wither (This deals damage to creatures in the form of -1/-1 counters.) Persist (When this creature is put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Common
 	 
CardName:	Restless Apparition
Cost:	(W/B)(W/B)(W/B)
Type:	Creature - Spirit
Pow/Tgh:	2/2
Rules Text:	o(w/b)o(w/b)o(w/b): Restless Apparition gets +3/+3 until end of turn. Persist (When this creature is put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Rise of the Hobgoblins
Cost:	(R/W)(R/W)
Type:	Enchantment
Pow/Tgh:	/
Rules Text:	When Rise of the Hobgoblins comes into play, you may pay X. If you do, put X 1/1 red and white Goblin Soldier creature tokens into play. o(r/w): Red creatures and white creatures you control gain first strike until end of turn.
Set/Rarity:	Eventide Rare
 	 
CardName:	Riverfall Mimic
Cost:	1(U/R)
Type:	Creature - Shapeshifter
Pow/Tgh:	2/1
Rules Text:	Whenever you play a spell that's both blue and red, Riverfall Mimic becomes 3/3 and is unblockable until end of turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Rugged Prairie
Cost:	
Type:	Land
Pow/Tgh:	/
Rules Text:	T Add 1 to your mana pool. o(r/w), T Add RR, RW, or WW to your mana pool.
Set/Rarity:	Eventide Rare
 	 
CardName:	Sanity Grinding
Cost:	UUU
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Chroma - Reveal the top ten cards of your library. For each blue mana symbol in the mana costs of the revealed cards, target opponent puts the top card of his or her library into his or her graveyard. Then put the cards you revealed this way on the bottom of your library in any order.
Set/Rarity:	Eventide Rare
 	 
CardName:	Sapling of Colfenor
Cost:	3(B/G)(B/G)
Type:	Legendary Creature - Treefolk Shaman
Pow/Tgh:	2/5
Rules Text:	Sapling of Colfenor is indestructible. Whenever Sapling of Colfenor attacks, reveal the top card of your library. If it's a creature card, you gain life equal to that card's toughness, lose life equal to its power, then put it into your hand.
Set/Rarity:	Eventide Rare
 	 
CardName:	Savage Conception
Cost:	3GG
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Put a 3/3 green Beast creature token into play. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Scarecrone
Cost:	3
Type:	Artifact Creature - Scarecrow
Pow/Tgh:	1/2
Rules Text:	1, Sacrifice a Scarecrow: Draw a card. 4, T Return target artifact creature card from your graveyard to play.
Set/Rarity:	Eventide Rare
 	 
CardName:	Scourge of the Nobilis
Cost:	2(R/W)
Type:	Enchantment - Aura
Pow/Tgh:	/
Rules Text:	Enchant creature As long as enchanted creature is red, it gets +1/+1 and has "o(r/w): This creature gets +1/+0 until end of turn." As long as enchanted creature is white, it gets +1/+1 and has lifelink. (Whenever it deals damage, its controller gains that much life.)
Set/Rarity:	Eventide Common
 	 
CardName:	Selkie Hedge-Mage
Cost:	2(G/U)
Type:	Creature - Merfolk Wizard
Pow/Tgh:	2/2
Rules Text:	When Selkie Hedge-Mage comes into play, if you control two or more Forests, you may gain 3 life. When Selkie Hedge-Mage comes into play, if you control two or more Islands, you may return target tapped creature to its owner's hand.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Shell Skulkin
Cost:	4
Type:	Artifact Creature - Scarecrow
Pow/Tgh:	3/2
Rules Text:	3: Target blue creature gains shroud until end of turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Shorecrasher Mimic
Cost:	1(G/U)
Type:	Creature - Shapeshifter
Pow/Tgh:	2/1
Rules Text:	Whenever you play a spell that's both green and blue, Shorecrasher Mimic becomes 5/3 and gains trample until end of turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Shrewd Hatchling
Cost:	3(U/R)
Type:	Creature - Elemental
Pow/Tgh:	6/6
Rules Text:	Shrewd Hatchling comes into play with four -1/-1 counters on it. o(u/r): Target creature can't block Shrewd Hatchling this turn. Whenever you play a blue spell, remove a -1/-1 counter from Shrewd Hatchling. Whenever you play a red spell, remove a -1/-1 counter from Shrewd Hatchling.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Slippery Bogle
Cost:	(G/U)
Type:	Creature - Beast
Pow/Tgh:	1/1
Rules Text:	Slippery Bogle can't be the target of spells or abilities your opponents control.
Set/Rarity:	Eventide Common
 	 
CardName:	Smoldering Butcher
Cost:	3B
Type:	Creature - Elemental Warrior
Pow/Tgh:	4/2
Rules Text:	Wither (This deals damage to creatures in the form of -1/-1 counters.)
Set/Rarity:	Eventide Common
 	 
CardName:	Snakeform
Cost:	2(G/U)
Type:	Instant
Pow/Tgh:	/
Rules Text:	Target creature loses all abilities and becomes a 1/1 green Snake until end of turn. Draw a card.
Set/Rarity:	Eventide Common
 	 
CardName:	Soot Imp
Cost:	1BB
Type:	Creature - Imp
Pow/Tgh:	1/2
Rules Text:	Flying Whenever a player plays a nonblack spell, that player loses 1 life.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Soul Reap
Cost:	1B
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Destroy target nongreen creature. Its controller loses 3 life if you played another black spell this turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Soul Snuffers
Cost:	2BB
Type:	Creature - Elemental Shaman
Pow/Tgh:	3/3
Rules Text:	When Soul Snuffers comes into play, put a -1/-1 counter on each creature.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Spirit of the Hearth
Cost:	4WW
Type:	Creature - Cat Spirit
Pow/Tgh:	4/5
Rules Text:	Flying You can't be the target of spells or abilities your opponents control.
Set/Rarity:	Eventide Rare
 	 
CardName:	Spitemare
Cost:	2(R/W)(R/W)
Type:	Creature - Elemental
Pow/Tgh:	3/3
Rules Text:	Whenever Spitemare is dealt damage, it deals that much damage to target creature or player.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Spitting Image
Cost:	4(G/U)(G/U)
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Put a token into play that's a copy of target creature. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Rare
 	 
CardName:	Springjack Pasture
Cost:	
Type:	Land
Pow/Tgh:	/
Rules Text:	T Add 1 to your mana pool. 4, T Put a 0/1 white Goat creature token into play. T, Sacrifice X Goats: Add X mana of any one color to your mana pool. You gain X life.
Set/Rarity:	Eventide Rare
 	 
CardName:	Springjack Shepherd
Cost:	3W
Type:	Creature - Kithkin Wizard
Pow/Tgh:	1/2
Rules Text:	Chroma - When Springjack Shepherd comes into play, put a 0/1 white Goat creature token into play for each white mana symbol in the mana costs of permanents you control.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Stalker Hag
Cost:	(B/G)(B/G)(B/G)
Type:	Creature - Hag
Pow/Tgh:	3/2
Rules Text:	Swampwalk, forestwalk
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Stigma Lasher
Cost:	RR
Type:	Creature - Elemental Shaman
Pow/Tgh:	2/2
Rules Text:	Wither (This deals damage to creatures in the form of -1/-1 counters.) Whenever Stigma Lasher deals damage to a player, that player can't gain life for the rest of the game.
Set/Rarity:	Eventide Rare
 	 
CardName:	Stillmoon Cavalier
Cost:	1(W/B)(W/B)
Type:	Creature - Zombie Knight
Pow/Tgh:	2/1
Rules Text:	Protection from white and from black o(w/b): Stillmoon Cavalier gains flying until end of turn. o(w/b): Stillmoon Cavalier gains first strike until end of turn. o(w/b)o(w/b): Stillmoon Cavalier gets +1/+0 until end of turn.
Set/Rarity:	Eventide Rare
 	 
CardName:	Stream Hopper
Cost:	(U/R)
Type:	Creature - Goblin
Pow/Tgh:	1/1
Rules Text:	o(u/r): Stream Hopper gains flying until end of turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Sturdy Hatchling
Cost:	3(G/U)
Type:	Creature - Elemental
Pow/Tgh:	6/6
Rules Text:	Sturdy Hatchling comes into play with four -1/-1 counters on it. o(g/u): Sturdy Hatchling gains shroud until end of turn. Whenever you play a green spell, remove a -1/-1 counter from Sturdy Hatchling. Whenever you play a blue spell, remove a -1/-1 counter from Sturdy Hatchling.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Suture Spirit
Cost:	1W
Type:	Creature - Spirit
Pow/Tgh:	1/1
Rules Text:	Flying o(w/b)o(w/b)o(w/b): Regenerate target creature.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Swirling Spriggan
Cost:	2GG
Type:	Creature - Goblin Shaman
Pow/Tgh:	3/3
Rules Text:	o(g/u)o(g/u): Target creature you control becomes the color or colors of your choice until end of turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Syphon Life
Cost:	1BB
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Target player loses 2 life and you gain 2 life. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Talara's Bane
Cost:	1B
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Target opponent reveals his or her hand. Choose a green or white creature card from it. You gain life equal that creature card's toughness, then that player discards that card.
Set/Rarity:	Eventide Common
 	 
CardName:	Talara's Battalion
Cost:	1G
Type:	Creature - Elf Warrior
Pow/Tgh:	4/3
Rules Text:	Trample Play Talara's Battalion only if you played another green spell this turn.
Set/Rarity:	Eventide Rare
 	 
CardName:	Talonrend
Cost:	4U
Type:	Creature - Elemental
Pow/Tgh:	0/5
Rules Text:	Flying o(u/r): Talonrend gets +1/-1 until end of turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Thunderblust
Cost:	2RRR
Type:	Creature - Elemental
Pow/Tgh:	7/2
Rules Text:	Haste Thunderblust has trample as long as it has a -1/-1 counter on it. Persist (When this creature is put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Rare
 	 
CardName:	Tilling Treefolk
Cost:	2G
Type:	Creature - Treefolk Druid
Pow/Tgh:	1/3
Rules Text:	When Tilling Treefolk comes into play, you may return up to two target land cards from your graveyard to your hand.
Set/Rarity:	Eventide Common
 	 
CardName:	Trapjaw Kelpie
Cost:	4(G/U)(G/U)
Type:	Creature - Beast
Pow/Tgh:	3/3
Rules Text:	Flash Persist (When this creature is put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Common
 	 
CardName:	Twilight Mire
Cost:	
Type:	Land
Pow/Tgh:	/
Rules Text:	T Add 1 to your mana pool. o(b/g), T Add BB, BG, or GG to your mana pool.
Set/Rarity:	Eventide Rare
 	 
CardName:	Twinblade Slasher
Cost:	G
Type:	Creature - Elf Warrior
Pow/Tgh:	1/1
Rules Text:	Wither (This deals damage to creatures in the form of -1/-1 counters.) 1G: Twinblade Slasher gets +2/+2 until end of turn. Play this ability only once each turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Umbra Stalker
Cost:	4BBB
Type:	Creature - Elemental
Pow/Tgh:	*/*
Rules Text:	Chroma - Umbra Stalker's power and toughness are each equal to the number of black mana symbols in the mana costs of cards in your graveyard.
Set/Rarity:	Eventide Rare
 	 
CardName:	Unmake
Cost:	(W/B)(W/B)(W/B)
Type:	Instant
Pow/Tgh:	/
Rules Text:	Remove target creature from the game.
Set/Rarity:	Eventide Common
 	 
CardName:	Unnerving Assault
Cost:	2(U/R)
Type:	Instant
Pow/Tgh:	/
Rules Text:	Creatures your opponents control get -1/-0 until end of turn if U was spent to play Unnerving Assault, and creatures you control get +1/+0 until end of turn if R was spent to play it. (Do both if UR was spent.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Unwilling Recruit
Cost:	XRRR
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Gain control of target creature until end of turn. Untap that creature. It gets +X/+0 and gains haste until end of turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Voracious Hatchling
Cost:	3(W/B)
Type:	Creature - Elemental
Pow/Tgh:	6/6
Rules Text:	Lifelink Voracious Hatchling comes into play with four -1/-1 counters on it. Whenever you play a white spell, remove a -1/-1 counter from Voracious Hatchling. Whenever you play a black spell, remove a -1/-1 counter from Voracious Hatchling.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Wake Thrasher
Cost:	2U
Type:	Creature - Merfolk Soldier
Pow/Tgh:	1/1
Rules Text:	Whenever a permanent you control becomes untapped, Wake Thrasher gets +1/+1 until end of turn.
Set/Rarity:	Eventide Rare
 	 
CardName:	Ward of Bones
Cost:	6
Type:	Artifact
Pow/Tgh:	/
Rules Text:	Each opponent who controls more creatures than you can't play creature cards. The same is true for artifacts, enchantments, and lands.
Set/Rarity:	Eventide Rare
 	 
CardName:	Waves of Aggression
Cost:	3(R/W)(R/W)
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Rare
 	 
CardName:	Wickerbough Elder
Cost:	3G
Type:	Creature - Treefolk Shaman
Pow/Tgh:	4/4
Rules Text:	Wickerbough Elder comes into play with a -1/-1 counter on it. G, Remove a -1/-1 counter from Wickerbough Elder: Destroy target artifact or enchantment.
Set/Rarity:	Eventide Common
 	 
CardName:	Wilderness Hypnotist
Cost:	2UU
Type:	Creature - Merfolk Wizard
Pow/Tgh:	1/3
Rules Text:	T Target red or green creature gets -2/-0 until end of turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Wistful Selkie
Cost:	(G/U)(G/U)(G/U)
Type:	Creature - Merfolk Wizard
Pow/Tgh:	2/2
Rules Text:	When Wistful Selkie comes into play, draw a card.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Woodlurker Mimic
Cost:	1(B/G)
Type:	Creature - Shapeshifter
Pow/Tgh:	2/1
Rules Text:	Whenever you play a spell that's both black and green, Woodlurker Mimic becomes 4/5 and gains wither until end of turn. (It deals damage to creatures in the form of -1/-1 counters.)
Set/Rarity:	Eventide Common
 	 
CardName:	Worm Harvest
Cost:	2(B/G)(B/G)(B/G)
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Put a 1/1 black and green Worm creature token into play for each land card in your graveyard. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Rare
 	 
	 

© 1995-2008 Wizards of the Coast, Inc., a subsidiary of Hasbro, Inc. All Rights Reserved.
Privacy Statement - Terms of Use
